index,path,concentrate_lung_time,kem_spe,kmeans_spe,gmm_spe
0,/database/datasets/Classics/LIDCdata/LIDC-IDRI-0194/01-01-2000-NA-CT THORAX WCONTRAST-68838/2.000000-CHEST-94975/,21.028006553649902,2.279031e-05,0.00018425888,0.0018507408
1,/database/datasets/Classics/LIDCdata/LIDC-IDRI-0273/01-01-2000-NA-CT THORAX WCONTRAST-57410/2.000000-CHEST-88746/,20.746609210968018,2.3950837e-05,0.00026204027,0.0019353385
2,/database/datasets/Classics/LIDCdata/LIDC-IDRI-0405/01-01-2000-NA-NA-51249/30078.000000-NA-51914/,36.2100989818573,2.9644274e-05,0.00050293276,0.00050506217
3,/database/datasets/Classics/LIDCdata/LIDC-IDRI-0250/01-01-2000-NA-CT THORAX WCONTRAST-19837/2.000000-CHEST-44411/,19.552176237106323,2.6875932e-05,0.00023773366,0.0018952694
4,/database/datasets/Classics/LIDCdata/LIDC-IDRI-0167/01-01-2000-NA-CT THORAX WCONTRAST-39127/2.000000-CHEST-44656/,18.584296464920044,3.2235475e-05,0.0002968743,0.0019965444
5,/database/datasets/Classics/LIDCdata/LIDC-IDRI-0205/01-01-2000-NA-CT THORAX WCONTRAST-46243/2.000000-CHEST-78363/,18.951406240463257,3.5821322e-05,0.00024329874,0.0019210634
6,/database/datasets/Classics/LIDCdata/LIDC-IDRI-0137/01-01-2000-NA-CT THORAX WCONTRAST-20553/3.000000-Recon 2 CHEST-96610/,21.039060831069946,3.274906e-05,0.0003296135,0.0020161292
7,/database/datasets/Classics/LIDCdata/LIDC-IDRI-0163/01-01-2000-NA-CT THORAX WCONTRAST-52456/3.000000-Recon 2 CHEST-54230/,33.509161710739136,5.2527495e-05,0.00021754194,0.0018697811
8,/database/datasets/Classics/LIDCdata/LIDC-IDRI-0166/01-01-2000-NA-CT THORAX WCONTRAST-66290/3.000000-Recon 2 CHEST-92308/,18.83448076248169,3.3056607e-05,0.00026520956,0.0019289758
10,/database/datasets/Classics/LIDCdata/LIDC-IDRI-0165/01-01-2000-NA-CT THORAX WCONTRAST-37946/2.000000-CHEST-01585/,18.99993062019348,2.998675e-05,0.0002488512,0.0019209462
11,/database/datasets/Classics/LIDCdata/LIDC-IDRI-0232/01-01-2000-NA-CT THORAX WCONTRAST-66650/3.000000-Recon 2 CHEST-95182/,19.56698775291443,6.41395e-05,0.00028574362,0.0019467283
12,/database/datasets/Classics/LIDCdata/LIDC-IDRI-0168/01-01-2000-NA-CT ANGIO CHEST NON-CO-93392/2.000000-BOTTOM TO TOP-62523/,33.72839951515198,2.1307033e-05,0.00027212716,0.0019580508
13,/database/datasets/Classics/LIDCdata/LIDC-IDRI-0248/01-01-2000-NA-CT CAP-48096/6.000000-Recon 3 C-A-P-95302/,20.48913884162903,3.25018e-05,0.00020051445,0.0018488283
15,/database/datasets/Classics/LIDCdata/LIDC-IDRI-0559/01-01-2000-NA-CT THORAX WCONTRAST-98352/3.000000-Recon 2 CHEST-77129/,19.741693258285522,2.8470715e-05,0.00028052364,0.0019580727
16,/database/datasets/Classics/LIDCdata/LIDC-IDRI-0290/01-01-2000-NA-CT THORAX WCONTRAST-53087/2.000000-CHEST-42176/,18.648654222488403,2.7436892e-05,0.00030756454,0.0019871558
18,/database/datasets/Classics/LIDCdata/LIDC-IDRI-0247/01-01-2000-NA-CT CAP-42765/6.000000-Recon 3 C-A-P-91202/,18.986359357833862,7.290525e-05,0.00034859305,0.0020304327
19,/database/datasets/Classics/LIDCdata/LIDC-IDRI-0811/01-01-2000-1-NA-15517/30007.000000-NA-84692/,58.152663230895996,2.8042838e-05,0.00047669548,0.00047810128
21,/database/datasets/Classics/LIDCdata/LIDC-IDRI-0149/01-01-2000-NA-CT THORAX WCONTRAST-16682/4.000000-Recon 3 CHEST-14593/,41.553154706954956,5.8603127e-05,0.0002824101,0.0019492303
